full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
Trey Lyles,75,#41,San Antonio Spurs,F,11/05/95,2.06,109.3,5500000.0,Canada,2015,1,12,Kentucky
Patrick Mills,75,#8,San Antonio Spurs,G,08/11/88,1.85,83.9,12678571.0,Australia,2009,2,55,Saint Mary's
Malik Monk,75,#1,Charlotte Hornets,G,02/04/98,1.91,89.4,4028400.0,USA,2017,1,11,Kentucky
Markieff Morris,75,#88,Los Angeles Lakers,F,09/02/89,2.03,111.1,3709887.0,USA,2011,1,13,Kansas
Shabazz Napier,75,#0,Washington Wizards,G,07/14/91,1.83,79.4,1845301.0,USA,2014,1,24,UConn
Tomas Satoransky,75,#31,Chicago Bulls,G,10/30/91,2.01,89.8,10000000.0,Czech,2012,2,32,
Mike Scott,75,#1,Philadelphia 76ers,F,07/16/88,2.01,107.5,4767000.0,USA,2012,2,43,Virginia
Noah Vonleh,75,#0,Denver Nuggets,F,08/24/95,2.08,112.0,2000000.0,USA,2014,1,9,Indiana
Juan Hernangomez,74,#41,Minnesota Timberwolves,F,09/28/95,2.06,99.8,3321029.0,Spain,2016,1,15,
Kyle Anderson,74,#1,Memphis Grizzlies,F,09/20/93,2.06,104.3,9073050.0,USA,2014,1,30,UCLA
Reggie Bullock,74,#25,New York Knicks,G,03/16/91,1.98,90.7,4000000.0,USA,2013,1,25,North Carolina
Pat Connaughton,74,#24,Milwaukee Bucks,G,01/06/93,1.96,97.5,1723050.0,USA,2015,2,41,Notre Dame
Markelle Fultz,74,#20,Orlando Magic,G,05/29/98,1.91,88.5,9745200.0,USA,2017,1,1,Washington
Moe Harkless,74,#0,New York Knicks,F,05/11/93,2.01,94.3,11011234.0,USA,2012,1,15,St. John's
Cory Joseph,74,#9,Sacramento Kings,G,08/20/91,1.91,83.9,12000000.0,Canada,2011,1,29,Texas
Doug McDermott,74,#20,Indiana Pacers,F,01/03/92,2.01,98.9,7333333.0,USA,2014,1,11,Creighton
E'Twaun Moore,74,#55,New Orleans Pelicans,G,02/25/89,1.91,86.6,8664928.0,USA,2011,2,55,Purdue
Chandler Parsons,74,#0,,F,10/25/88,2.06,90.7,25102512.0,USA,2011,2,38,Florida
Norman Powell,74,#24,Toronto Raptors,G,05/25/93,1.91,97.5,10116576.0,USA,2015,2,46,UCLA
Glenn Robinson III,74,#22,Golden State Warriors,F,01/08/94,1.98,95.7,1882867.0,USA,2014,2,40,Michigan
Denzel Valentine,74,#45,Chicago Bulls,G,11/16/93,1.93,95.3,3377568.0,USA,2016,1,14,Michigan State
Rui Hachimura,74,#8,Washington Wizards,F,02/08/98,2.03,102.1,4469160.0,Japan,2019,1,9,Gonzaga
Dwayne Bacon,73,#7,Charlotte Hornets,G,08/30/95,1.98,99.8,1618520.0,USA,2017,2,40,Florida State
DeAndre Bembry,73,#95,Atlanta Hawks,F,07/04/94,1.96,93.9,2603981.0,USA,2016,1,21,Saint Joseph's
Jonah Bolden,73,#0,Phoenix Suns,F,01/02/96,2.03,97.5,1788296.0,Australia,2017,2,36,UCLA
Sterling Brown,73,#23,Milwaukee Bucks,G,02/10/95,1.96,104.3,1618520.0,USA,2017,2,46,SMU
Bruce Brown,73,#6,Detroit Pistons,G,08/15/96,1.93,86.2,1416852.0,USA,2018,2,42,Miami (Florida)
Alec Burks,73,#0,Philadelphia 76ers,G,07/20/91,1.98,88.5,2320044.0,USA,2011,1,12,Colorado
James Ennis,73,#0,Orlando Magic,F,07/01/90,1.98,91.2,1882867.0,USA,2013,2,50,Long Beach State
